WN, ELP, PHX,20200728,0,0,80,76
WN, ELP, DAL,20200707,0,0,110,87
WN, ELP, DAL,20200707,0,0,105,100
WN, ELP, DAL,20200707,0,0,105,94
WN, ELP, HOU,20200707,0,0,110,109
WN, ELP, LAS,20200707,0,0,105,94
WN, ELP, PHX,20200707,0,0,80,66
WN, ELP, PHX,20200707,0,0,80,73
WN, ELP, PHX,20200707,0,0,80,72
WN, ELP, DAL,20200708,0,0,110,96
WN, ELP, DAL,20200708,0,0,105,110
WN, ELP, DAL,20200708,0,0,105,93
WN, ELP, HOU,20200708,0,0,110,110
WN, ELP, LAS,20200708,0,0,105,95
WN, ELP, PHX,20200708,0,0,80,67
WN, ELP, PHX,20200708,0,0,80,77
WN, ELP, PHX,20200708,0,0,80,64
WN, ELP, DAL,20200709,0,0,110,99
WN, ELP, DAL,20200709,0,0,105,98
WN, ELP, DAL,20200709,0,0,105,94
WN, ELP, HOU,20200709,0,0,110,112
WN, ELP, LAS,20200709,0,0,105,96
WN, ELP, PHX,20200709,0,0,80,70
WN, ELP, PHX,20200709,0,0,80,73
WN, ELP, PHX,20200709,0,0,80,70
WN, ELP, DAL,20200718,0,0,110,101
WN, ELP, DAL,20200718,0,0,105,105
WN, ELP, DAL,20200718,0,0,105,107
WN, ELP, HOU,20200718,0,0,110,111
WN, ELP, LAS,20200718,0,0,105,97
WN, ELP, PHX,20200718,0,0,80,68
WN, ELP, PHX,20200718,0,0,80,68
WN, ELP, PHX,20200718,0,0,80,70
WN, ELP, DAL,20200719,0,0,110,103
WN, ELP, DAL,20200719,0,0,105,99
WN, ELP, DAL,20200719,0,0,105,99
WN, ELP, HOU,20200719,0,0,110,107
WN, ELP, LAS,20200719,0,0,105,98
WN, ELP, PHX,20200719,0,0,80,68
WN, ELP, PHX,20200719,0,0,80,64
WN, ELP, PHX,20200719,0,0,80,74
WN, ELP, DAL,20200720,0,0,110,106
WN, ELP, DAL,20200720,0,0,105,105
WN, ELP, DAL,20200720,0,0,105,102
WN, ELP, HOU,20200720,0,0,110,105
WN, ELP, LAS,20200720,0,0,105,101
WN, ELP, PHX,20200720,0,0,80,67
WN, ELP, PHX,20200720,0,0,80,72
WN, ELP, PHX,20200720,0,0,80,74
WN, ELP, DAL,20200729,0,0,110,93
WN, ELP, DAL,20200729,0,0,105,89
WN, ELP, DAL,20200729,0,0,105,103
WN, ELP, HOU,20200729,0,0,110,106
WN, ELP, LAS,20200729,0,0,105,100
WN, ELP, PHX,20200729,0,0,80,77
WN, ELP, PHX,20200729,0,0,80,65
WN, ELP, PHX,20200729,0,0,80,70
WN, ELP, DAL,20200730,0,0,110,93
WN, ELP, DAL,20200730,0,0,105,92
WN, ELP, DAL,20200730,0,0,105,106
WN, ELP, HOU,20200730,0,0,110,101
WN, ELP, LAS,20200730,0,0,105,115
WN, ELP, PHX,20200730,0,0,80,64
WN, ELP, PHX,20200730,0,0,80,67
WN, ELP, PHX,20200730,0,0,80,70
WN, ELP, DAL,20200731,0,0,110,93
WN, ELP, DAL,20200731,0,0,105,92
WN, ELP, DAL,20200731,0,0,105,94
WN, ELP, HOU,20200731,0,0,110,102
WN, ELP, LAS,20200731,0,0,105,99
WN, ELP, PHX,20200731,0,0,80,67
WN, ELP, PHX,20200731,0,0,80,76
WN, ELP, PHX,20200731,0,0,80,67
WN, ELP, DAL,20200710,0,0,110,97
WN, ELP, DAL,20200710,0,0,105,94
WN, ELP, DAL,20200710,0,0,105,91
WN, ELP, HOU,20200710,0,0,110,104
WN, ELP, LAS,20200710,0,0,105,99
WN, ELP, PHX,20200710,0,0,80,71
WN, ELP, PHX,20200710,0,0,80,70
WN, ELP, PHX,20200710,0,0,80,63
WN, ELP, DAL,20200711,0,0,110,101
WN, ELP, DAL,20200711,0,0,105,94
WN, ELP, DAL,20200711,0,0,105,94
WN, ELP, HOU,20200711,0,0,110,114
WN, ELP, LAS,20200711,0,0,105,99
WN, ELP, PHX,20200711,0,0,80,72
WN, ELP, PHX,20200711,0,0,80,65
WN, ELP, PHX,20200711,0,0,80,70
WN, ELP, DAL,20200712,0,0,110,101
WN, ELP, DAL,20200712,0,0,105,95
WN, ELP, DAL,20200712,0,0,105,93
WN, ELP, HOU,20200712,0,0,110,104
WN, ELP, LAS,20200712,0,0,105,91
WN, ELP, PHX,20200712,0,0,80,69
WN, ELP, PHX,20200712,0,0,80,66
WN, ELP, PHX,20200712,0,0,80,68
WN, ELP, DAL,20200721,0,0,110,106
WN, ELP, DAL,20200721,0,0,105,95
WN, ELP, DAL,20200721,0,0,105,101
WN, ELP, HOU,20200721,0,0,110,116
WN, ELP, LAS,20200721,0,0,105,102
WN, ELP, PHX,20200721,0,0,80,74
WN, ELP, PHX,20200721,0,0,80,75
WN, ELP, PHX,20200721,0,0,80,64
UA, ELP, IAH,20200704,0,0,110,125
UA, ELP, IAH,20200726,0,0,111,134
UA, ELP, IAH,20200713,0,0,113,144
UA, ELP, IAH,20200703,0,0,110,130
UA, ELP, IAH,20200701,0,0,110,109
UA, ELP, IAH,20200722,0,0,113,117
UA, ELP, IAH,20200708,0,0,111,106
UA, ELP, IAH,20200705,0,0,110,117
UA, ELP, IAH,20200724,0,0,111,103
UA, ELP, IAH,20200702,0,0,110,116
UA, ELP, IAH,20200726,0,0,113,121
UA, ELP, IAH,20200715,0,0,111,121
UA, ELP, IAH,20200718,0,0,113,109
UA, ELP, IAH,20200710,0,0,113,108
UA, ELP, IAH,20200731,0,0,111,128
UA, ELP, IAH,20200708,0,0,113,110
UA, ELP, IAH,20200712,0,0,111,111
UA, ELP, IAH,20200715,0,0,113,114
UA, ELP, IAH,20200704,0,0,111,124
UA, ELP, IAH,20200724,0,0,113,110
UA, ELP, IAH,20200731,0,0,113,114
UA, ELP, IAH,20200701,0,0,111,118
UA, ELP, IAH,20200725,0,0,111,115
UA, ELP, IAH,20200706,0,0,113,125
UA, ELP, IAH,20200712,0,0,113,118
UA, ELP, IAH,20200714,0,0,113,119
UA, ELP, IAH,20200720,0,0,111,119
UA, ELP, IAH,20200716,0,0,113,114
UA, ELP, IAH,20200719,0,0,113,128
UA, ELP, IAH,20200719,0,0,111,114
UA, ELP, IAH,20200720,0,0,113,116
UA, ELP, IAH,20200728,0,0,111,112
UA, ELP, IAH,20200705,0,0,111,123
UA, ELP, IAH,20200711,0,0,113,114
UA, ELP, IAH,20200711,0,0,111,104
UA, ELP, IAH,20200728,0,0,113,125
UA, ELP, IAH,20200722,0,0,111,107
UA, ELP, IAH,20200723,0,0,113,115
UA, ELP, IAH,20200713,0,0,111,113
UA, ELP, IAH,20200703,0,0,111,119
UA, ELP, IAH,20200721,0,0,111,116
UA, ELP, IAH,20200718,0,0,111,111
UA, ELP, IAH,20200710,0,0,111,120
UA, ELP, IAH,20200727,0,0,113,109
UA, ELP, IAH,20200702,0,0,111,117
UA, ELP, IAH,20200729,0,0,111,112
UA, ELP, IAH,20200723,0,0,111,130
UA, ELP, IAH,20200706,0,0,111,116
UA, ELP, IAH,20200714,0,0,111,118
UA, ELP, IAH,20200707,0,0,113,112
UA, ELP, IAH,20200727,0,0,111,110
UA, ELP, IAH,20200707,0,0,111,125
UA, ELP, IAH,20200725,0,0,113,125
UA, ELP, IAH,20200717,0,0,113,112
UA, ELP, IAH,20200709,0,0,113,114
UA, ELP, IAH,20200721,0,0,113,115
UA, ELP, IAH,20200729,0,0,113,112
UA, ELP, IAH,20200730,0,0,111,105
UA, ELP, IAH,20200730,0,0,113,121
UA, ELP, IAH,20200709,0,0,111,96
UA, ELP, IAH,20200717,0,0,111,112
UA, ELP, IAH,20200716,0,0,111,102
AA, ELP, DFW,20200709,0,0,103,113
AA, ELP, DFW,20200710,0,0,103,111
AA, ELP, DFW,20200712,0,0,103,106
AA, ELP, DFW,20200713,0,0,103,141
AA, ELP, DFW,20200716,0,0,103,100
AA, ELP, DFW,20200717,0,0,103,100
AA, ELP, DFW,20200719,0,0,103,112
AA, ELP, DFW,20200720,0,0,103,110
AA, ELP, DFW,20200723,0,0,103,108
AA, ELP, DFW,20200724,0,0,103,101
AA, ELP, DFW,20200726,0,0,103,124
AA, ELP, DFW,20200727,0,0,103,105
AA, ELP, DFW,20200730,0,0,103,108
AA, ELP, DFW,20200731,0,0,103,96
AA, ELP, DFW,20200701,0,0,104,106
AA, ELP, DFW,20200702,0,0,104,114
AA, ELP, DFW,20200703,0,0,104,112
AA, ELP, DFW,20200704,0,0,104,108
AA, ELP, DFW,20200705,0,0,104,102
AA, ELP, DFW,20200706,0,0,104,106
AA, ELP, DFW,20200708,0,0,104,115
AA, ELP, DFW,20200709,0,0,104,123
AA, ELP, DFW,20200710,0,0,104,107
AA, ELP, DFW,20200711,0,0,104,105
AA, ELP, DFW,20200712,0,0,104,101
AA, ELP, DFW,20200713,0,0,104,109
AA, ELP, DFW,20200714,0,0,104,120
AA, ELP, DFW,20200715,0,0,104,119
AA, ELP, DFW,20200716,0,0,104,108
AA, ELP, DFW,20200717,0,0,104,114
AA, ELP, DFW,20200718,0,0,104,118
AA, ELP, DFW,20200719,0,0,104,108
AA, ELP, DFW,20200720,0,0,104,125
AA, ELP, DFW,20200721,0,0,104,119
AA, ELP, DFW,20200722,0,0,104,111
AA, ELP, DFW,20200723,0,0,104,116
AA, ELP, DFW,20200724,0,0,104,106
AA, ELP, DFW,20200725,0,0,104,106
AA, ELP, DFW,20200726,0,0,104,112
AA, ELP, DFW,20200727,0,0,104,112
AA, ELP, DFW,20200728,0,0,104,146
AA, ELP, DFW,20200729,0,0,104,103
AA, ELP, DFW,20200730,0,0,104,105
AA, ELP, DFW,20200731,0,0,104,95
AA, ELP, DFW,20200707,0,0,103,102
AA, ELP, DFW,20200708,0,0,103,94
AA, ELP, DFW,20200709,0,0,103,105
AA, ELP, DFW,20200710,0,0,103,113
AA, ELP, DFW,20200711,0,0,103,99
AA, ELP, DFW,20200712,0,0,103,93
AA, ELP, DFW,20200713,0,0,103,114
AA, ELP, DFW,20200714,0,0,103,101
AA, ELP, DFW,20200715,0,0,103,104
AA, ELP, DFW,20200716,0,0,103,97
AA, ELP, DFW,20200717,0,0,103,101
AA, ELP, DFW,20200718,0,0,103,98
AA, ELP, DFW,20200719,0,0,103,104
AA, ELP, DFW,20200720,0,0,103,103
AA, ELP, DFW,20200721,0,0,103,107
AA, ELP, DFW,20200722,0,0,103,101
AA, ELP, DFW,20200723,0,0,103,107
AA, ELP, DFW,20200724,0,0,103,93
AA, ELP, DFW,20200725,0,0,103,100
AA, ELP, DFW,20200726,0,0,103,108
AA, ELP, DFW,20200727,0,0,103,99
