AA, ELP, LAX, 20200321, 0, 0, 147, 149
AA, ELP, LAX, 20200322, 0, 0, 147, 163
AA, ELP, LAX, 20200323, 0, 0, 147, 161
AA, ELP, LAX, 20200324, 0, 0, 147, 157
AA, ELP, LAX, 20200325, 0, 0, 147, 143
AA, ELP, LAX, 20200326, 0, 0, 147, 0
AA, ELP, LAX, 20200327, 0, 0, 147, 138
AA, ELP, LAX, 20200328, 0, 0, 147, 131
AA, ELP, LAX, 20200329, 0, 0, 147, 151
AA, ELP, LAX, 20200330, 0, 0, 147, 131
AA, ELP, LAX, 20200331, 0, 0, 147, 120
AA, ELP, LAX, 20200301, 0, 0, 140, 138
AA, ELP, LAX, 20200302, 0, 0, 140, 129
AA, ELP, LAX, 20200303, 0, 0, 140, 128
AA, ELP, LAX, 20200304, 0, 0, 140, 121
AA, ELP, LAX, 20200305, 0, 0, 139, 122
AA, ELP, LAX, 20200306, 0, 0, 139, 123
AA, ELP, LAX, 20200307, 0, 0, 139, 123
AA, ELP, LAX, 20200308, 0, 0, 139, 141
AA, ELP, LAX, 20200309, 0, 0, 139, 137
AA, ELP, LAX, 20200310, 0, 0, 139, 134
AA, ELP, LAX, 20200311, 0, 0, 139, 141
AA, ELP, LAX, 20200312, 0, 0, 139, 132
AA, ELP, LAX, 20200313, 0, 0, 139, 125
AA, ELP, LAX, 20200314, 0, 0, 139, 127
AA, ELP, LAX, 20200315, 0, 0, 139, 128
AA, ELP, LAX, 20200316, 0, 0, 139, 136
AA, ELP, LAX, 20200317, 0, 0, 139, 129
AA, ELP, LAX, 20200318, 0, 0, 139, 127
AA, ELP, LAX, 20200319, 0, 0, 139, 136
AA, ELP, LAX, 20200320, 0, 0, 139, 140
AA, ELP, LAX, 20200321, 0, 0, 139, 135
AA, ELP, LAX, 20200322, 0, 0, 139, 137
AA, ELP, LAX, 20200323, 0, 0, 139, 152
AA, ELP, LAX, 20200324, 0, 0, 139, 141
AA, ELP, LAX, 20200325, 0, 0, 139, 129
AA, ELP, LAX, 20200326, 0, 0, 139, 139
AA, ELP, LAX, 20200327, 0, 0, 139, 120
AA, ELP, LAX, 20200328, 0, 0, 139, 0
AA, ELP, LAX, 20200329, 0, 0, 139, 0
AA, ELP, LAX, 20200330, 0, 0, 139, 0
AA, ELP, LAX, 20200331, 0, 0, 139, 0
AA, ELP, LAX, 20200301, 0, 0, 139, 143
AA, ELP, LAX, 20200302, 0, 0, 139, 140
AA, ELP, LAX, 20200303, 0, 0, 139, 126
AA, ELP, LAX, 20200304, 0, 0, 139, 123
AA, ELP, LAX, 20200305, 0, 0, 136, 138
AA, ELP, LAX, 20200306, 0, 0, 136, 130
AA, ELP, LAX, 20200307, 0, 0, 136, 141
AA, ELP, LAX, 20200308, 0, 0, 136, 129
AA, ELP, LAX, 20200309, 0, 0, 136, 133
AA, ELP, LAX, 20200310, 0, 0, 136, 144
